Source,Destination,Source port,Destination port,Version
192.168.1.5,192.168.1.1,63962.0,53.0,4
192.168.1.1,192.168.1.5,53.0,63962.0,4
185.125.190.48,192.168.1.5,80.0,64417.0,4
192.168.1.5,192.168.1.1,63963.0,53.0,4
192.168.1.5,192.168.1.1,63964.0,53.0,4
192.168.1.1,192.168.1.5,53.0,63963.0,4
192.168.1.1,192.168.1.5,53.0,63964.0,4
192.168.1.5,185.125.188.54,64418.0,443.0,4
185.125.188.54,192.168.1.5,443.0,64418.0,4
192.168.1.5,192.168.1.1,63965.0,53.0,4
192.168.1.1,192.168.1.5,53.0,63965.0,4
192.168.1.5,185.125.188.54,64419.0,443.0,4
185.125.188.54,192.168.1.5,443.0,64419.0,4
192.168.1.5,44.229.164.15,64420.0,443.0,4
192.168.1.5,44.229.164.15,64421.0,443.0,4
44.229.164.15,192.168.1.5,443.0,64420.0,4
44.229.164.15,192.168.1.5,443.0,64421.0,4
192.168.1.5,239.255.255.250,58406.0,1900.0,4
192.168.1.5,192.168.1.1,58407.0,53.0,4
192.168.1.5,192.168.1.1,58408.0,53.0,4
192.168.1.1,192.168.1.5,53.0,58407.0,4
192.168.1.1,192.168.1.5,53.0,58408.0,4
192.168.1.5,185.125.190.58,58409.0,123.0,4
185.125.190.58,192.168.1.5,123.0,58409.0,4
192.168.1.5,192.168.1.1,58410.0,53.0,4
192.168.1.1,192.168.1.5,53.0,58410.0,4
192.168.1.1,239.255.255.250,,,4
192.168.1.5,192.168.1.1,55392.0,53.0,4
192.168.1.5,192.168.1.1,64840.0,53.0,4
192.168.1.1,192.168.1.5,53.0,55392.0,4
192.168.1.1,192.168.1.5,53.0,64840.0,4
192.168.1.5,44.236.158.41,64422.0,443.0,4
192.168.1.5,44.236.158.41,64423.0,443.0,4
44.236.158.41,192.168.1.5,443.0,64422.0,4
44.236.158.41,192.168.1.5,443.0,64423.0,4
192.168.1.5,192.168.1.1,64841.0,53.0,4
192.168.1.5,192.168.1.1,64842.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64841.0,4
192.168.1.1,192.168.1.5,53.0,64842.0,4
192.168.1.5,162.213.33.48,64424.0,443.0,4
192.168.1.5,192.168.1.1,64843.0,53.0,4
